symbol,name,sector,date,time,timestamp,open,high,low,close,volume
TATAMOTORS,Tata Motors,Automobile,2026-09-04,09:30,2026-09-04 09:30:00,985.75,989.41,984.97,988.63,1679606
TATAMOTORS,Tata Motors,Automobile,2026-09-04,10:00,2026-09-04 10:00:00,988.63,995.76,984.52,991.64,2069014
TATAMOTORS,Tata Motors,Automobile,2026-09-04,10:30,2026-09-04 10:30:00,991.64,1006.12,987.15,1001.58,3084814
TATAMOTORS,Tata Motors,Automobile,2026-09-04,11:00,2026-09-04 11:00:00,1001.58,1006.41,989.58,994.37,2395780
TATAMOTORS,Tata Motors,Automobile,2026-09-04,11:30,2026-09-04 11:30:00,994.37,1003.17,990.68,999.45,1977025
TATAMOTORS,Tata Motors,Automobile,2026-09-04,12:00,2026-09-04 12:00:00,999.45,1000.19,985.67,986.4,3686969
TATAMOTORS,Tata Motors,Automobile,2026-09-04,12:30,2026-09-04 12:30:00,986.4,993.62,973.09,980.26,1774565
TATAMOTORS,Tata Motors,Automobile,2026-09-04,13:00,2026-09-04 13:00:00,980.26,981.9,972.94,974.56,2473395
TATAMOTORS,Tata Motors,Automobile,2026-09-04,13:30,2026-09-04 13:30:00,974.56,978.26,968.25,971.94,1576553
TATAMOTORS,Tata Motors,Automobile,2026-09-04,14:00,2026-09-04 14:00:00,971.94,973.77,960.01,961.82,1489448
TATAMOTORS,Tata Motors,Automobile,2026-09-04,14:30,2026-09-04 14:30:00,961.82,967.21,953.73,959.1,1507571
TATAMOTORS,Tata Motors,Automobile,2026-09-04,15:00,2026-09-04 15:00:00,959.1,977.33,954.27,972.43,2006742
TATAMOTORS,Tata Motors,Automobile,2026-09-04,15:30,2026-09-04 15:30:00,972.43,975.79,964.08,967.43,1597610
TATAMOTORS,Tata Motors,Automobile,2026-09-07,09:30,2026-09-07 09:30:00,954.89,956.22,942.48,943.8,4670836
TATAMOTORS,Tata Motors,Automobile,2026-09-07,10:00,2026-09-07 10:00:00,943.8,944.73,935.36,936.28,2537632
TATAMOTORS,Tata Motors,Automobile,2026-09-07,10:30,2026-09-07 10:30:00,936.28,941.82,934.58,940.11,2079914
TATAMOTORS,Tata Motors,Automobile,2026-09-07,11:00,2026-09-07 11:00:00,940.11,940.71,936.04,936.63,1813861
TATAMOTORS,Tata Motors,Automobile,2026-09-07,11:30,2026-09-07 11:30:00,936.63,937.2,935.79,936.36,1309338
TATAMOTORS,Tata Motors,Automobile,2026-09-07,12:00,2026-09-07 12:00:00,936.36,942.56,926.31,932.49,1040976
TATAMOTORS,Tata Motors,Automobile,2026-09-07,12:30,2026-09-07 12:30:00,932.49,936.49,930.87,934.87,1355162
