symbol,name,sector,date,time,timestamp,open,high,low,close,volume
ICICIBANK,ICICI Bank,Banking,2026-09-04,09:30,2026-09-04 09:30:00,1184.6,1185.08,1182.76,1183.24,2299157
ICICIBANK,ICICI Bank,Banking,2026-09-04,10:00,2026-09-04 10:00:00,1183.24,1186.4,1183.18,1186.34,1210168
ICICIBANK,ICICI Bank,Banking,2026-09-04,10:30,2026-09-04 10:30:00,1186.34,1195.95,1184.07,1193.67,1647158
ICICIBANK,ICICI Bank,Banking,2026-09-04,11:00,2026-09-04 11:00:00,1193.67,1204.38,1188.38,1199.07,1130526
ICICIBANK,ICICI Bank,Banking,2026-09-04,11:30,2026-09-04 11:30:00,1199.07,1200.45,1192.27,1193.64,1454100
ICICIBANK,ICICI Bank,Banking,2026-09-04,12:00,2026-09-04 12:00:00,1193.64,1194.66,1186.69,1187.7,1648233
ICICIBANK,ICICI Bank,Banking,2026-09-04,12:30,2026-09-04 12:30:00,1187.7,1191.29,1182.25,1185.83,679110
ICICIBANK,ICICI Bank,Banking,2026-09-04,13:00,2026-09-04 13:00:00,1185.83,1188.76,1178.78,1181.7,908021
ICICIBANK,ICICI Bank,Banking,2026-09-04,13:30,2026-09-04 13:30:00,1181.7,1185.23,1179.73,1183.26,1341593
ICICIBANK,ICICI Bank,Banking,2026-09-04,14:00,2026-09-04 14:00:00,1183.26,1195.85,1177.39,1189.95,1612642
ICICIBANK,ICICI Bank,Banking,2026-09-04,14:30,2026-09-04 14:30:00,1189.95,1193.59,1183.02,1186.64,1130870
ICICIBANK,ICICI Bank,Banking,2026-09-04,15:00,2026-09-04 15:00:00,1186.64,1190.23,1181.02,1184.6,681465
ICICIBANK,ICICI Bank,Banking,2026-09-04,15:30,2026-09-04 15:30:00,1184.6,1184.63,1179.64,1179.67,1054747
ICICIBANK,ICICI Bank,Banking,2026-09-07,09:30,2026-09-07 09:30:00,1178.42,1188.52,1177.43,1187.51,2028107
ICICIBANK,ICICI Bank,Banking,2026-09-07,10:00,2026-09-07 10:00:00,1187.51,1192.88,1175.58,1180.91,1247408
ICICIBANK,ICICI Bank,Banking,2026-09-07,10:30,2026-09-07 10:30:00,1180.91,1185.12,1177.08,1181.28,584415
ICICIBANK,ICICI Bank,Banking,2026-09-07,11:00,2026-09-07 11:00:00,1181.28,1190.79,1177.36,1186.85,1073888
ICICIBANK,ICICI Bank,Banking,2026-09-07,11:30,2026-09-07 11:30:00,1186.85,1189.11,1181.79,1184.05,1053206
ICICIBANK,ICICI Bank,Banking,2026-09-07,12:00,2026-09-07 12:00:00,1184.05,1195.84,1180.29,1192.06,1080180
ICICIBANK,ICICI Bank,Banking,2026-09-07,12:30,2026-09-07 12:30:00,1192.06,1206.55,1188.09,1202.55,1585067
ICICIBANK,ICICI Bank,Banking,2026-09-07,13:00,2026-09-07 13:00:00,1202.55,1204.86,1197.71,1200.02,1096874
ICICIBANK,ICICI Bank,Banking,2026-09-07,13:30,2026-09-07 13:30:00,1200.02,1206.46,1197.71,1204.14,1186631
ICICIBANK,ICICI Bank,Banking,2026-09-07,14:00,2026-09-07 14:00:00,1204.14,1215.62,1199.26,1210.7,1836756
ICICIBANK,ICICI Bank,Banking,2026-09-07,14:30,2026-09-07 14:30:00,1210.7,1214.19,1208.67,1212.16,751942
